starelid,staop1,staop2,staop3,staop4,staop5,stakind1,stakind2,stakind3,stakind4,stakind5,stawidth,staattnum,stainherit,stavalues1,stavalues2,stavalues3,stavalues4,stavalues5,stadistinct,stanullfrac,stanumbers1,stanumbers2,stanumbers3,stanumbers4,stanumbers5
1247,92,631,631,0,0,1,2,3,0,0,1,7,false,"{C,A,N,P,U,S,D,G,R,T,I,V}","{B,X}",NULL,NULL,NULL,14,0,"{0.544737,0.202632,0.05,0.05,0.0473684,0.0289474,0.0184211,0.0184211,0.0157895,0.00789474,0.00526316,0.00526316}",NULL,{0.140448},NULL,NULL
1247,91,58,0,0,0,1,3,0,0,0,1,8,false,"{f,t}",NULL,NULL,NULL,NULL,2,0,"{0.978947,0.0210526}",{0.902931},NULL,NULL,NULL
1247,91,58,0,0,0,1,3,0,0,0,1,9,false,{t},NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
1247,92,631,0,0,0,1,3,0,0,0,1,10,false,"{"","",;}",NULL,NULL,NULL,NULL,2,0,"{0.994737,0.00526316}",{0.976186},NULL,NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,11,false,{0},"{826,1213,1247,1255,1260,1262,1418,2328,2396,2601,2603,2605,2607,2609,2611,2613,2616,2619,2753,2832,2836,2840,2964,2995,3118,3350,3394,3456,3501,3576,3596,3600,3602,3764,6100,6104,11595,11603,11609,11617,11625,11633,11641,11648,11654,11661,11668,11676,11682,11688,11700,11707,11714,11720,11727,11734,11740,11747,11754,11761,11767,11774,11781,11788,11795,12826,12838,12849,12857,12865,12873,12881,12889,12896,12903,12911,12918,12925,12932,12938,12943,12948,12953,12958,12966,12971,12979,12986,12994,13002,13009,13016,13024,13032,13040,13047,13053,13060,13066,13073,13084}",NULL,NULL,NULL,-0.547368,0,{0.455263},NULL,{0.963668},NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,12,false,"{0,600,701,18,21,26}","{16,17,19,20,22,23,24,25,27,28,29,30,114,142,601,602,603,604,628,650,700,702,703,704,718,774,790,829,869,1033,1042,1043,1082,1083,1114,1184,1186,1266,1560,1562,1700,1790,2202,2203,2204,2205,2206,2249,2275,2950,2970,3220,3614,3615,3642,3734,3769,3802,3904,3906,3908,3910,3912,3926,4089,4096,12820,12823,12825,12830,12832}",NULL,NULL,NULL,-0.202632,0,"{0.781579,0.00789474,0.00789474,0.00526316,0.00526316,0.00526316}",NULL,{0.274565},NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,13,false,{0},"{143,199,629,651,719,775,791,1000,1001,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1027,1028,1034,1040,1041,1115,1182,1183,1185,1187,1231,1263,1270,1561,1563,2201,2207,2208,2209,2210,2211,2287,2949,2951,3221,3643,3644,3645,3735,3770,3807,3905,3907,3909,3911,3913,3927,4090,4097,12819,12822,12824,12829,12831}",NULL,NULL,NULL,-0.202632,0,{0.8},NULL,{0.283836},NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,14,false,"{record_in,array_in,range_in,domain_in,textin}","{namein,int2in,int2vectorin,int4in,regprocin,tidin,xidin,cidin,oidvectorin,pg_ddl_command_in,unknownin,point_in,lseg_in,path_in,box_in,pg_node_tree_in,float4in,float8in,abstimein,reltimein,tintervalin,json_in,index_am_handler_in,poly_in,macaddr_in,int8in,smgrin,cash_in,inet_in,aclitemin,bpcharin,varcharin,date_in,time_in,timestamptz_in,interval_in,boolin,byteain,charin,cidr_in,timestamp_in,timetz_in,circle_in,line_in,bit_in,varbit_in,numeric_in,oidin,regprocedurein,regoperin,regoperatorin,regclassin,regtypein,cstring_in,any_in,anyarray_in,void_in,trigger_in,language_handler_in,internal_in,opaque_in,anyelement_in,anynonarray_in,xml_in,txid_snapshot_in,uuid_in,fdw_handler_in,pg_lsn_in,tsm_handler_in,pg_ndistinct_in,pg_dependencies_in,anyenum_in,event_trigger_in,tsvectorin,tsqueryin,gtsvectorin,regconfigin,regdictionaryin,jsonb_in,anyrange_in,regnamespacein,regrolein,macaddr8_in}",NULL,NULL,NULL,-0.231579,0,"{0.547368,0.2,0.0157895,0.0131579,0.00526316}",NULL,{0.707956},NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,15,false,"{record_out,array_out,range_out,varcharout,int4out,textout,timestamptz_out}","{byteaout,charout,nameout,int2out,int2vectorout,regprocout,tidout,xidout,cidout,oidvectorout,pg_ddl_command_out,unknownout,point_out,lseg_out,path_out,box_out,pg_node_tree_out,float4out,float8out,abstimeout,reltimeout,tintervalout,json_out,index_am_handler_out,poly_out,macaddr_out,int8out,smgrout,cash_out,inet_out,aclitemout,bpcharout,date_out,time_out,interval_out,boolout,timestamp_out,timetz_out,cidr_out,circle_out,line_out,bit_out,varbit_out,numeric_out,oidout,regprocedureout,regoperout,regoperatorout,regclassout,regtypeout,cstring_out,any_out,anyarray_out,void_out,trigger_out,language_handler_out,internal_out,opaque_out,anyelement_out,anynonarray_out,xml_out,txid_snapshot_out,uuid_out,fdw_handler_out,pg_lsn_out,tsm_handler_out,pg_ndistinct_out,pg_dependencies_out,anyenum_out,event_trigger_out,tsvectorout,tsqueryout,gtsvectorout,regconfigout,regdictionaryout,jsonb_out,anyrange_out,regnamespaceout,regroleout,macaddr8_out}",NULL,NULL,NULL,-0.228947,0,"{0.547368,0.2,0.0157895,0.0105263,0.00526316,0.00526316,0.00526316}",NULL,{0.693346},NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,16,false,"{record_recv,array_recv,-,range_recv,domain_recv,textrecv}","{pg_ddl_command_recv,pg_node_tree_recv,json_recv,int2recv,int4recv,int8recv,int2vectorrecv,bytearecv,unknownrecv,oidrecv,oidvectorrecv,namerecv,float4recv,float8recv,point_recv,bpcharrecv,varcharrecv,charrecv,boolrecv,tidrecv,xidrecv,cidrecv,regprocrecv,regprocedurerecv,regoperrecv,regoperatorrecv,regclassrecv,regtyperecv,bit_recv,varbit_recv,numeric_recv,abstimerecv,reltimerecv,tintervalrecv,date_recv,time_recv,timetz_recv,timestamp_recv,timestamptz_recv,interval_recv,lseg_recv,path_recv,box_recv,poly_recv,line_recv,circle_recv,cash_recv,macaddr_recv,inet_recv,cidr_recv,cstring_recv,anyarray_recv,xml_recv,txid_snapshot_recv,uuid_recv,void_recv,pg_lsn_recv,pg_ndistinct_recv,pg_dependencies_recv,macaddr8_recv,tsvectorrecv,tsqueryrecv,regconfigrecv,regdictionaryrecv,jsonb_recv,regnamespacerecv,regrolerecv}",NULL,NULL,NULL,-0.192105,0,"{0.547368,0.2,0.0421053,0.0157895,0.0131579,0.00526316}",NULL,{0.228819},NULL,NULL
