collname,collctype,collowner,collcollate,collversion,collencoding,collprovider,collnamespace
en-WS-x-icu,en-WS,10,en-WS,153.88,-1,i,11
en-ZA-x-icu,en-ZA,10,en-ZA,153.88,-1,i,11
en-ZM-x-icu,en-ZM,10,en-ZM,153.88,-1,i,11
en-ZW-x-icu,en-ZW,10,en-ZW,153.88,-1,i,11
en-x-icu,en,10,en,153.88,-1,i,11
en_US,en_US.utf8,10,en_US.utf8,NULL,6,c,11
en_US.utf8,en_US.utf8,10,en_US.utf8,NULL,6,c,11
eo-x-icu,eo,10,eo,153.88.34,-1,i,11
es-419-x-icu,es-419,10,es-419,153.88.34,-1,i,11
es-AR-x-icu,es-AR,10,es-AR,153.88.34,-1,i,11
es-BO-x-icu,es-BO,10,es-BO,153.88.34,-1,i,11
es-BR-x-icu,es-BR,10,es-BR,153.88.34,-1,i,11
es-BZ-x-icu,es-BZ,10,es-BZ,153.88.34,-1,i,11
es-CL-x-icu,es-CL,10,es-CL,153.88.34,-1,i,11
es-CO-x-icu,es-CO,10,es-CO,153.88.34,-1,i,11
es-CR-x-icu,es-CR,10,es-CR,153.88.34,-1,i,11
es-CU-x-icu,es-CU,10,es-CU,153.88.34,-1,i,11
es-DO-x-icu,es-DO,10,es-DO,153.88.34,-1,i,11
es-EA-x-icu,es-EA,10,es-EA,153.88.34,-1,i,11
es-EC-x-icu,es-EC,10,es-EC,153.88.34,-1,i,11
es-ES-x-icu,es-ES,10,es-ES,153.88.34,-1,i,11
es-GQ-x-icu,es-GQ,10,es-GQ,153.88.34,-1,i,11
es-GT-x-icu,es-GT,10,es-GT,153.88.34,-1,i,11
es-HN-x-icu,es-HN,10,es-HN,153.88.34,-1,i,11
es-IC-x-icu,es-IC,10,es-IC,153.88.34,-1,i,11
es-MX-x-icu,es-MX,10,es-MX,153.88.34,-1,i,11
es-NI-x-icu,es-NI,10,es-NI,153.88.34,-1,i,11
es-PA-x-icu,es-PA,10,es-PA,153.88.34,-1,i,11
es-PE-x-icu,es-PE,10,es-PE,153.88.34,-1,i,11
es-PH-x-icu,es-PH,10,es-PH,153.88.34,-1,i,11
es-PR-x-icu,es-PR,10,es-PR,153.88.34,-1,i,11
es-PY-x-icu,es-PY,10,es-PY,153.88.34,-1,i,11
es-SV-x-icu,es-SV,10,es-SV,153.88.34,-1,i,11
es-US-x-icu,es-US,10,es-US,153.88.34,-1,i,11
es-UY-x-icu,es-UY,10,es-UY,153.88.34,-1,i,11
es-VE-x-icu,es-VE,10,es-VE,153.88.34,-1,i,11
es-x-icu,es,10,es,153.88.34,-1,i,11
et-EE-x-icu,et-EE,10,et-EE,153.88.34,-1,i,11
et-x-icu,et,10,et,153.88.34,-1,i,11
eu-ES-x-icu,eu-ES,10,eu-ES,153.88,-1,i,11
eu-x-icu,eu,10,eu,153.88,-1,i,11
ewo-CM-x-icu,ewo-CM,10,ewo-CM,153.88,-1,i,11
ewo-x-icu,ewo,10,ewo,153.88,-1,i,11
fa-AF-x-icu,fa-AF,10,fa-AF,153.88.34,-1,i,11
fa-IR-x-icu,fa-IR,10,fa-IR,153.88.34,-1,i,11
fa-x-icu,fa,10,fa,153.88.34,-1,i,11
ff-x-icu,ff,10,ff,153.88,-1,i,11
fi-FI-x-icu,fi-FI,10,fi-FI,153.88.34,-1,i,11
fi-x-icu,fi,10,fi,153.88.34,-1,i,11
fil-PH-x-icu,fil-PH,10,fil-PH,153.88.34,-1,i,11
fil-x-icu,fil,10,fil,153.88.34,-1,i,11
fo-DK-x-icu,fo-DK,10,fo-DK,153.88.34,-1,i,11
fo-FO-x-icu,fo-FO,10,fo-FO,153.88.34,-1,i,11
fo-x-icu,fo,10,fo,153.88.34,-1,i,11
fr-BE-x-icu,fr-BE,10,fr-BE,153.88,-1,i,11
fr-BF-x-icu,fr-BF,10,fr-BF,153.88,-1,i,11
fr-BI-x-icu,fr-BI,10,fr-BI,153.88,-1,i,11
fr-BJ-x-icu,fr-BJ,10,fr-BJ,153.88,-1,i,11
fr-BL-x-icu,fr-BL,10,fr-BL,153.88,-1,i,11
fr-CA-x-icu,fr-CA,10,fr-CA,153.88.34,-1,i,11
fr-CD-x-icu,fr-CD,10,fr-CD,153.88,-1,i,11
fr-CF-x-icu,fr-CF,10,fr-CF,153.88,-1,i,11
fr-CG-x-icu,fr-CG,10,fr-CG,153.88,-1,i,11
fr-CH-x-icu,fr-CH,10,fr-CH,153.88,-1,i,11
fr-CI-x-icu,fr-CI,10,fr-CI,153.88,-1,i,11
fr-CM-x-icu,fr-CM,10,fr-CM,153.88,-1,i,11
fr-DJ-x-icu,fr-DJ,10,fr-DJ,153.88,-1,i,11
fr-DZ-x-icu,fr-DZ,10,fr-DZ,153.88,-1,i,11
fr-FR-x-icu,fr-FR,10,fr-FR,153.88,-1,i,11
fr-GA-x-icu,fr-GA,10,fr-GA,153.88,-1,i,11
fr-GF-x-icu,fr-GF,10,fr-GF,153.88,-1,i,11
fr-GN-x-icu,fr-GN,10,fr-GN,153.88,-1,i,11
fr-GP-x-icu,fr-GP,10,fr-GP,153.88,-1,i,11
fr-GQ-x-icu,fr-GQ,10,fr-GQ,153.88,-1,i,11
fr-HT-x-icu,fr-HT,10,fr-HT,153.88,-1,i,11
fr-KM-x-icu,fr-KM,10,fr-KM,153.88,-1,i,11
fr-LU-x-icu,fr-LU,10,fr-LU,153.88,-1,i,11
fr-MA-x-icu,fr-MA,10,fr-MA,153.88,-1,i,11
fr-MC-x-icu,fr-MC,10,fr-MC,153.88,-1,i,11
fr-MF-x-icu,fr-MF,10,fr-MF,153.88,-1,i,11
fr-MG-x-icu,fr-MG,10,fr-MG,153.88,-1,i,11
fr-ML-x-icu,fr-ML,10,fr-ML,153.88,-1,i,11
fr-MQ-x-icu,fr-MQ,10,fr-MQ,153.88,-1,i,11
fr-MR-x-icu,fr-MR,10,fr-MR,153.88,-1,i,11
fr-MU-x-icu,fr-MU,10,fr-MU,153.88,-1,i,11
fr-NC-x-icu,fr-NC,10,fr-NC,153.88,-1,i,11
fr-NE-x-icu,fr-NE,10,fr-NE,153.88,-1,i,11
fr-PF-x-icu,fr-PF,10,fr-PF,153.88,-1,i,11
fr-PM-x-icu,fr-PM,10,fr-PM,153.88,-1,i,11
fr-RE-x-icu,fr-RE,10,fr-RE,153.88,-1,i,11
fr-RW-x-icu,fr-RW,10,fr-RW,153.88,-1,i,11
fr-SC-x-icu,fr-SC,10,fr-SC,153.88,-1,i,11
fr-SN-x-icu,fr-SN,10,fr-SN,153.88,-1,i,11
fr-SY-x-icu,fr-SY,10,fr-SY,153.88,-1,i,11
fr-TD-x-icu,fr-TD,10,fr-TD,153.88,-1,i,11
fr-TG-x-icu,fr-TG,10,fr-TG,153.88,-1,i,11
fr-TN-x-icu,fr-TN,10,fr-TN,153.88,-1,i,11
fr-VU-x-icu,fr-VU,10,fr-VU,153.88,-1,i,11
fr-WF-x-icu,fr-WF,10,fr-WF,153.88,-1,i,11
fr-YT-x-icu,fr-YT,10,fr-YT,153.88,-1,i,11
fr-x-icu,fr,10,fr,153.88,-1,i,11
fur-IT-x-icu,fur-IT,10,fur-IT,153.88,-1,i,11
fur-x-icu,fur,10,fur,153.88,-1,i,11
fy-NL-x-icu,fy-NL,10,fy-NL,153.88,-1,i,11
fy-x-icu,fy,10,fy,153.88,-1,i,11
ga-IE-x-icu,ga-IE,10,ga-IE,153.88,-1,i,11
ga-x-icu,ga,10,ga,153.88,-1,i,11
gd-GB-x-icu,gd-GB,10,gd-GB,153.88,-1,i,11
gd-x-icu,gd,10,gd,153.88,-1,i,11
gl-ES-x-icu,gl-ES,10,gl-ES,153.88.34,-1,i,11
gl-x-icu,gl,10,gl,153.88.34,-1,i,11
gsw-CH-x-icu,gsw-CH,10,gsw-CH,153.88,-1,i,11
gsw-FR-x-icu,gsw-FR,10,gsw-FR,153.88,-1,i,11
gsw-LI-x-icu,gsw-LI,10,gsw-LI,153.88,-1,i,11
gsw-x-icu,gsw,10,gsw,153.88,-1,i,11
gu-IN-x-icu,gu-IN,10,gu-IN,153.88.34,-1,i,11
gu-x-icu,gu,10,gu,153.88.34,-1,i,11
guz-KE-x-icu,guz-KE,10,guz-KE,153.88,-1,i,11
guz-x-icu,guz,10,guz,153.88,-1,i,11
gv-IM-x-icu,gv-IM,10,gv-IM,153.88,-1,i,11
gv-x-icu,gv,10,gv,153.88,-1,i,11
ha-GH-x-icu,ha-GH,10,ha-GH,153.88.34,-1,i,11
ha-NE-x-icu,ha-NE,10,ha-NE,153.88.34,-1,i,11
ha-NG-x-icu,ha-NG,10,ha-NG,153.88.34,-1,i,11
ha-x-icu,ha,10,ha,153.88.34,-1,i,11
haw-US-x-icu,haw-US,10,haw-US,153.88.34,-1,i,11
haw-x-icu,haw,10,haw,153.88.34,-1,i,11
he-IL-x-icu,he-IL,10,he-IL,153.88.34,-1,i,11
he-x-icu,he,10,he,153.88.34,-1,i,11
hi-IN-x-icu,hi-IN,10,hi-IN,153.88.34,-1,i,11
hi-x-icu,hi,10,hi,153.88.34,-1,i,11
hr-BA-x-icu,hr-BA,10,hr-BA,153.88.34,-1,i,11
hr-HR-x-icu,hr-HR,10,hr-HR,153.88.34,-1,i,11
hr-x-icu,hr,10,hr,153.88.34,-1,i,11
hsb-DE-x-icu,hsb-DE,10,hsb-DE,153.88.34,-1,i,11
hsb-x-icu,hsb,10,hsb,153.88.34,-1,i,11
hu-HU-x-icu,hu-HU,10,hu-HU,153.88.34,-1,i,11
hu-x-icu,hu,10,hu,153.88.34,-1,i,11
hy-AM-x-icu,hy-AM,10,hy-AM,153.88.34,-1,i,11
hy-x-icu,hy,10,hy,153.88.34,-1,i,11
ia-001-x-icu,ia-001,10,ia-001,153.88,-1,i,11
ia-x-icu,ia,10,ia,153.88,-1,i,11
id-ID-x-icu,id-ID,10,id-ID,153.88,-1,i,11
id-x-icu,id,10,id,153.88,-1,i,11
ig-NG-x-icu,ig-NG,10,ig-NG,153.88.34,-1,i,11
ig-x-icu,ig,10,ig,153.88.34,-1,i,11
ii-CN-x-icu,ii-CN,10,ii-CN,153.88,-1,i,11
ii-x-icu,ii,10,ii,153.88,-1,i,11
is-IS-x-icu,is-IS,10,is-IS,153.88.34,-1,i,11
is-x-icu,is,10,is,153.88.34,-1,i,11
it-CH-x-icu,it-CH,10,it-CH,153.88,-1,i,11
it-IT-x-icu,it-IT,10,it-IT,153.88,-1,i,11
it-SM-x-icu,it-SM,10,it-SM,153.88,-1,i,11
it-VA-x-icu,it-VA,10,it-VA,153.88,-1,i,11
it-x-icu,it,10,it,153.88,-1,i,11
ja-JP-x-icu,ja-JP,10,ja-JP,153.88.34,-1,i,11
ja-x-icu,ja,10,ja,153.88.34,-1,i,11
jgo-CM-x-icu,jgo-CM,10,jgo-CM,153.88,-1,i,11
jgo-x-icu,jgo,10,jgo,153.88,-1,i,11
jmc-TZ-x-icu,jmc-TZ,10,jmc-TZ,153.88,-1,i,11
jmc-x-icu,jmc,10,jmc,153.88,-1,i,11
jv-ID-x-icu,jv-ID,10,jv-ID,153.88,-1,i,11
jv-x-icu,jv,10,jv,153.88,-1,i,11
ka-GE-x-icu,ka-GE,10,ka-GE,153.88.34,-1,i,11
ka-x-icu,ka,10,ka,153.88.34,-1,i,11
kab-DZ-x-icu,kab-DZ,10,kab-DZ,153.88,-1,i,11
kab-x-icu,kab,10,kab,153.88,-1,i,11
kam-KE-x-icu,kam-KE,10,kam-KE,153.88,-1,i,11
kam-x-icu,kam,10,kam,153.88,-1,i,11
kde-TZ-x-icu,kde-TZ,10,kde-TZ,153.88,-1,i,11
kde-x-icu,kde,10,kde,153.88,-1,i,11
kea-CV-x-icu,kea-CV,10,kea-CV,153.88,-1,i,11
kea-x-icu,kea,10,kea,153.88,-1,i,11
khq-ML-x-icu,khq-ML,10,khq-ML,153.88,-1,i,11
khq-x-icu,khq,10,khq,153.88,-1,i,11
ki-KE-x-icu,ki-KE,10,ki-KE,153.88,-1,i,11
ki-x-icu,ki,10,ki,153.88,-1,i,11
kk-KZ-x-icu,kk-KZ,10,kk-KZ,153.88.34,-1,i,11
kk-x-icu,kk,10,kk,153.88.34,-1,i,11
kkj-CM-x-icu,kkj-CM,10,kkj-CM,153.88,-1,i,11
kkj-x-icu,kkj,10,kkj,153.88,-1,i,11
kl-GL-x-icu,kl-GL,10,kl-GL,153.88.34,-1,i,11
kl-x-icu,kl,10,kl,153.88.34,-1,i,11
kln-KE-x-icu,kln-KE,10,kln-KE,153.88,-1,i,11
kln-x-icu,kln,10,kln,153.88,-1,i,11
km-KH-x-icu,km-KH,10,km-KH,153.88.34,-1,i,11
km-x-icu,km,10,km,153.88.34,-1,i,11
kn-IN-x-icu,kn-IN,10,kn-IN,153.88.34,-1,i,11
kn-x-icu,kn,10,kn,153.88.34,-1,i,11
ko-KP-x-icu,ko-KP,10,ko-KP,153.88.34,-1,i,11
ko-KR-x-icu,ko-KR,10,ko-KR,153.88.34,-1,i,11
ko-x-icu,ko,10,ko,153.88.34,-1,i,11
kok-IN-x-icu,kok-IN,10,kok-IN,153.88.34,-1,i,11
kok-x-icu,kok,10,kok,153.88.34,-1,i,11
ks-IN-x-icu,ks-IN,10,ks-IN,153.88,-1,i,11
ks-x-icu,ks,10,ks,153.88,-1,i,11
ksb-TZ-x-icu,ksb-TZ,10,ksb-TZ,153.88,-1,i,11
ksb-x-icu,ksb,10,ksb,153.88,-1,i,11
ksf-CM-x-icu,ksf-CM,10,ksf-CM,153.88,-1,i,11
ksf-x-icu,ksf,10,ksf,153.88,-1,i,11
ksh-DE-x-icu,ksh-DE,10,ksh-DE,153.88,-1,i,11
ksh-x-icu,ksh,10,ksh,153.88,-1,i,11
ku-TR-x-icu,ku-TR,10,ku-TR,153.88.34,-1,i,11
ku-x-icu,ku,10,ku,153.88.34,-1,i,11
kw-GB-x-icu,kw-GB,10,kw-GB,153.88,-1,i,11
kw-x-icu,kw,10,kw,153.88,-1,i,11
ky-KG-x-icu,ky-KG,10,ky-KG,153.88.34,-1,i,11
ky-x-icu,ky,10,ky,153.88.34,-1,i,11
lag-TZ-x-icu,lag-TZ,10,lag-TZ,153.88,-1,i,11
lag-x-icu,lag,10,lag,153.88,-1,i,11
lb-LU-x-icu,lb-LU,10,lb-LU,153.88,-1,i,11
lb-x-icu,lb,10,lb,153.88,-1,i,11
lg-UG-x-icu,lg-UG,10,lg-UG,153.88,-1,i,11
lg-x-icu,lg,10,lg,153.88,-1,i,11
lkt-US-x-icu,lkt-US,10,lkt-US,153.88.34,-1,i,11
lkt-x-icu,lkt,10,lkt,153.88.34,-1,i,11
ln-AO-x-icu,ln-AO,10,ln-AO,153.88.34,-1,i,11
ln-CD-x-icu,ln-CD,10,ln-CD,153.88.34,-1,i,11
ln-CF-x-icu,ln-CF,10,ln-CF,153.88.34,-1,i,11
ln-CG-x-icu,ln-CG,10,ln-CG,153.88.34,-1,i,11
ln-x-icu,ln,10,ln,153.88.34,-1,i,11
lo-LA-x-icu,lo-LA,10,lo-LA,153.88.34,-1,i,11
lo-x-icu,lo,10,lo,153.88.34,-1,i,11
lrc-IQ-x-icu,lrc-IQ,10,lrc-IQ,153.88,-1,i,11
lrc-IR-x-icu,lrc-IR,10,lrc-IR,153.88,-1,i,11
lrc-x-icu,lrc,10,lrc,153.88,-1,i,11
lt-LT-x-icu,lt-LT,10,lt-LT,153.88.34,-1,i,11
lt-x-icu,lt,10,lt,153.88.34,-1,i,11
lu-CD-x-icu,lu-CD,10,lu-CD,153.88,-1,i,11
lu-x-icu,lu,10,lu,153.88,-1,i,11
luo-KE-x-icu,luo-KE,10,luo-KE,153.88,-1,i,11
luo-x-icu,luo,10,luo,153.88,-1,i,11
luy-KE-x-icu,luy-KE,10,luy-KE,153.88,-1,i,11
luy-x-icu,luy,10,luy,153.88,-1,i,11
lv-LV-x-icu,lv-LV,10,lv-LV,153.88.34,-1,i,11
lv-x-icu,lv,10,lv,153.88.34,-1,i,11
mas-KE-x-icu,mas-KE,10,mas-KE,153.88,-1,i,11
mas-TZ-x-icu,mas-TZ,10,mas-TZ,153.88,-1,i,11
mas-x-icu,mas,10,mas,153.88,-1,i,11
mer-KE-x-icu,mer-KE,10,mer-KE,153.88,-1,i,11
mer-x-icu,mer,10,mer,153.88,-1,i,11
mfe-MU-x-icu,mfe-MU,10,mfe-MU,153.88,-1,i,11
mfe-x-icu,mfe,10,mfe,153.88,-1,i,11
mg-MG-x-icu,mg-MG,10,mg-MG,153.88,-1,i,11
mg-x-icu,mg,10,mg,153.88,-1,i,11
mgh-MZ-x-icu,mgh-MZ,10,mgh-MZ,153.88,-1,i,11
mgh-x-icu,mgh,10,mgh,153.88,-1,i,11
mgo-CM-x-icu,mgo-CM,10,mgo-CM,153.88,-1,i,11
mgo-x-icu,mgo,10,mgo,153.88,-1,i,11
mi-NZ-x-icu,mi-NZ,10,mi-NZ,153.88,-1,i,11
mi-x-icu,mi,10,mi,153.88,-1,i,11
mk-MK-x-icu,mk-MK,10,mk-MK,153.88.34,-1,i,11
mk-x-icu,mk,10,mk,153.88.34,-1,i,11
ml-IN-x-icu,ml-IN,10,ml-IN,153.88.34,-1,i,11
ml-x-icu,ml,10,ml,153.88.34,-1,i,11
mn-MN-x-icu,mn-MN,10,mn-MN,153.88.34,-1,i,11
mn-x-icu,mn,10,mn,153.88.34,-1,i,11
mr-IN-x-icu,mr-IN,10,mr-IN,153.88.34,-1,i,11
mr-x-icu,mr,10,mr,153.88.34,-1,i,11
ms-BN-x-icu,ms-BN,10,ms-BN,153.88,-1,i,11
ms-MY-x-icu,ms-MY,10,ms-MY,153.88,-1,i,11
ms-SG-x-icu,ms-SG,10,ms-SG,153.88,-1,i,11
ms-x-icu,ms,10,ms,153.88,-1,i,11
mt-MT-x-icu,mt-MT,10,mt-MT,153.88.34,-1,i,11
mt-x-icu,mt,10,mt,153.88.34,-1,i,11
mua-CM-x-icu,mua-CM,10,mua-CM,153.88,-1,i,11
mua-x-icu,mua,10,mua,153.88,-1,i,11
my-MM-x-icu,my-MM,10,my-MM,153.88.34,-1,i,11
my-x-icu,my,10,my,153.88.34,-1,i,11
mzn-IR-x-icu,mzn-IR,10,mzn-IR,153.88,-1,i,11
mzn-x-icu,mzn,10,mzn,153.88,-1,i,11
naq-NA-x-icu,naq-NA,10,naq-NA,153.88,-1,i,11
naq-x-icu,naq,10,naq,153.88,-1,i,11
nb-NO-x-icu,nb-NO,10,nb-NO,153.88.34,-1,i,11
nb-SJ-x-icu,nb-SJ,10,nb-SJ,153.88.34,-1,i,11
nb-x-icu,nb,10,nb,153.88.34,-1,i,11
nd-ZW-x-icu,nd-ZW,10,nd-ZW,153.88,-1,i,11
nd-x-icu,nd,10,nd,153.88,-1,i,11
nds-DE-x-icu,nds-DE,10,nds-DE,153.88,-1,i,11
nds-NL-x-icu,nds-NL,10,nds-NL,153.88,-1,i,11
nds-x-icu,nds,10,nds,153.88,-1,i,11
ne-IN-x-icu,ne-IN,10,ne-IN,153.88.34,-1,i,11
ne-NP-x-icu,ne-NP,10,ne-NP,153.88.34,-1,i,11
ne-x-icu,ne,10,ne,153.88.34,-1,i,11
nl-AW-x-icu,nl-AW,10,nl-AW,153.88,-1,i,11
nl-BE-x-icu,nl-BE,10,nl-BE,153.88,-1,i,11
nl-BQ-x-icu,nl-BQ,10,nl-BQ,153.88,-1,i,11
nl-CW-x-icu,nl-CW,10,nl-CW,153.88,-1,i,11
nl-NL-x-icu,nl-NL,10,nl-NL,153.88,-1,i,11
nl-SR-x-icu,nl-SR,10,nl-SR,153.88,-1,i,11
nl-SX-x-icu,nl-SX,10,nl-SX,153.88,-1,i,11
nl-x-icu,nl,10,nl,153.88,-1,i,11
nmg-CM-x-icu,nmg-CM,10,nmg-CM,153.88,-1,i,11
nmg-x-icu,nmg,10,nmg,153.88,-1,i,11
nn-NO-x-icu,nn-NO,10,nn-NO,153.88.34,-1,i,11
nn-x-icu,nn,10,nn,153.88.34,-1,i,11
nnh-CM-x-icu,nnh-CM,10,nnh-CM,153.88,-1,i,11
nnh-x-icu,nnh,10,nnh,153.88,-1,i,11
nus-SS-x-icu,nus-SS,10,nus-SS,153.88,-1,i,11
nus-x-icu,nus,10,nus,153.88,-1,i,11
nyn-UG-x-icu,nyn-UG,10,nyn-UG,153.88,-1,i,11
nyn-x-icu,nyn,10,nyn,153.88,-1,i,11
om-ET-x-icu,om-ET,10,om-ET,153.88.34,-1,i,11
om-KE-x-icu,om-KE,10,om-KE,153.88.34,-1,i,11
om-x-icu,om,10,om,153.88.34,-1,i,11
or-IN-x-icu,or-IN,10,or-IN,153.88.34,-1,i,11
or-x-icu,or,10,or,153.88.34,-1,i,11
os-GE-x-icu,os-GE,10,os-GE,153.88,-1,i,11
os-RU-x-icu,os-RU,10,os-RU,153.88,-1,i,11
os-x-icu,os,10,os,153.88,-1,i,11
pa-Arab-PK-x-icu,pa-Arab-PK,10,pa-Arab-PK,153.88.34,-1,i,11
pa-Arab-x-icu,pa-Arab,10,pa-Arab,153.88.34,-1,i,11
pa-Guru-IN-x-icu,pa-Guru-IN,10,pa-Guru-IN,153.88.34,-1,i,11
pa-Guru-x-icu,pa-Guru,10,pa-Guru,153.88.34,-1,i,11
pa-x-icu,pa,10,pa,153.88.34,-1,i,11
pl-PL-x-icu,pl-PL,10,pl-PL,153.88.34,-1,i,11
pl-x-icu,pl,10,pl,153.88.34,-1,i,11
ps-AF-x-icu,ps-AF,10,ps-AF,153.88.34,-1,i,11
ps-x-icu,ps,10,ps,153.88.34,-1,i,11
pt-AO-x-icu,pt-AO,10,pt-AO,153.88,-1,i,11
pt-BR-x-icu,pt-BR,10,pt-BR,153.88,-1,i,11
pt-CH-x-icu,pt-CH,10,pt-CH,153.88,-1,i,11
pt-CV-x-icu,pt-CV,10,pt-CV,153.88,-1,i,11
pt-GQ-x-icu,pt-GQ,10,pt-GQ,153.88,-1,i,11
pt-GW-x-icu,pt-GW,10,pt-GW,153.88,-1,i,11
pt-LU-x-icu,pt-LU,10,pt-LU,153.88,-1,i,11
pt-MO-x-icu,pt-MO,10,pt-MO,153.88,-1,i,11
pt-MZ-x-icu,pt-MZ,10,pt-MZ,153.88,-1,i,11
pt-PT-x-icu,pt-PT,10,pt-PT,153.88,-1,i,11
pt-ST-x-icu,pt-ST,10,pt-ST,153.88,-1,i,11
pt-TL-x-icu,pt-TL,10,pt-TL,153.88,-1,i,11
pt-x-icu,pt,10,pt,153.88,-1,i,11
qu-BO-x-icu,qu-BO,10,qu-BO,153.88,-1,i,11
qu-EC-x-icu,qu-EC,10,qu-EC,153.88,-1,i,11
qu-PE-x-icu,qu-PE,10,qu-PE,153.88,-1,i,11
qu-x-icu,qu,10,qu,153.88,-1,i,11
rm-CH-x-icu,rm-CH,10,rm-CH,153.88,-1,i,11
rm-x-icu,rm,10,rm,153.88,-1,i,11
rn-BI-x-icu,rn-BI,10,rn-BI,153.88,-1,i,11
rn-x-icu,rn,10,rn,153.88,-1,i,11
ro-MD-x-icu,ro-MD,10,ro-MD,153.88.34,-1,i,11
ro-RO-x-icu,ro-RO,10,ro-RO,153.88.34,-1,i,11
ro-x-icu,ro,10,ro,153.88.34,-1,i,11
rof-TZ-x-icu,rof-TZ,10,rof-TZ,153.88,-1,i,11
rof-x-icu,rof,10,rof,153.88,-1,i,11
ru-BY-x-icu,ru-BY,10,ru-BY,153.88.34,-1,i,11
ru-KG-x-icu,ru-KG,10,ru-KG,153.88.34,-1,i,11
ru-KZ-x-icu,ru-KZ,10,ru-KZ,153.88.34,-1,i,11
ru-MD-x-icu,ru-MD,10,ru-MD,153.88.34,-1,i,11
ru-RU-x-icu,ru-RU,10,ru-RU,153.88.34,-1,i,11
ru-UA-x-icu,ru-UA,10,ru-UA,153.88.34,-1,i,11
ru-x-icu,ru,10,ru,153.88.34,-1,i,11
rw-RW-x-icu,rw-RW,10,rw-RW,153.88,-1,i,11
rw-x-icu,rw,10,rw,153.88,-1,i,11
rwk-TZ-x-icu,rwk-TZ,10,rwk-TZ,153.88,-1,i,11
rwk-x-icu,rwk,10,rwk,153.88,-1,i,11
sah-RU-x-icu,sah-RU,10,sah-RU,153.88,-1,i,11
sah-x-icu,sah,10,sah,153.88,-1,i,11
saq-KE-x-icu,saq-KE,10,saq-KE,153.88,-1,i,11
saq-x-icu,saq,10,saq,153.88,-1,i,11
sbp-TZ-x-icu,sbp-TZ,10,sbp-TZ,153.88,-1,i,11
sbp-x-icu,sbp,10,sbp,153.88,-1,i,11
sd-PK-x-icu,sd-PK,10,sd-PK,153.88,-1,i,11
sd-x-icu,sd,10,sd,153.88,-1,i,11
se-FI-x-icu,se-FI,10,se-FI,153.88.34,-1,i,11
se-NO-x-icu,se-NO,10,se-NO,153.88.34,-1,i,11
se-SE-x-icu,se-SE,10,se-SE,153.88.34,-1,i,11
se-x-icu,se,10,se,153.88.34,-1,i,11
seh-MZ-x-icu,seh-MZ,10,seh-MZ,153.88,-1,i,11
seh-x-icu,seh,10,seh,153.88,-1,i,11
ses-ML-x-icu,ses-ML,10,ses-ML,153.88,-1,i,11
ses-x-icu,ses,10,ses,153.88,-1,i,11
