collname,collctype,collowner,collcollate,collversion,collencoding,collprovider,collnamespace
uz-Cyrl-UZ-x-icu,uz-Cyrl-UZ,10,uz-Cyrl-UZ,153.88.34,-1,i,11
uz-Cyrl-x-icu,uz-Cyrl,10,uz-Cyrl,153.88.34,-1,i,11
uz-Latn-UZ-x-icu,uz-Latn-UZ,10,uz-Latn-UZ,153.88.34,-1,i,11
uz-Latn-x-icu,uz-Latn,10,uz-Latn,153.88.34,-1,i,11
uz-x-icu,uz,10,uz,153.88.34,-1,i,11
vai-Latn-LR-x-icu,vai-Latn-LR,10,vai-Latn-LR,153.88,-1,i,11
vai-Latn-x-icu,vai-Latn,10,vai-Latn,153.88,-1,i,11
vai-Vaii-LR-x-icu,vai-Vaii-LR,10,vai-Vaii-LR,153.88,-1,i,11
vai-Vaii-x-icu,vai-Vaii,10,vai-Vaii,153.88,-1,i,11
vai-x-icu,vai,10,vai,153.88,-1,i,11
vi-VN-x-icu,vi-VN,10,vi-VN,153.88.34,-1,i,11
vi-x-icu,vi,10,vi,153.88.34,-1,i,11
vun-TZ-x-icu,vun-TZ,10,vun-TZ,153.88,-1,i,11
vun-x-icu,vun,10,vun,153.88,-1,i,11
wae-CH-x-icu,wae-CH,10,wae-CH,153.88,-1,i,11
wae-x-icu,wae,10,wae,153.88,-1,i,11
wo-SN-x-icu,wo-SN,10,wo-SN,153.88.34,-1,i,11
wo-x-icu,wo,10,wo,153.88.34,-1,i,11
xh-ZA-x-icu,xh-ZA,10,xh-ZA,153.88,-1,i,11
xh-x-icu,xh,10,xh,153.88,-1,i,11
xog-UG-x-icu,xog-UG,10,xog-UG,153.88,-1,i,11
xog-x-icu,xog,10,xog,153.88,-1,i,11
yav-CM-x-icu,yav-CM,10,yav-CM,153.88,-1,i,11
yav-x-icu,yav,10,yav,153.88,-1,i,11
yi-001-x-icu,yi-001,10,yi-001,153.88.34,-1,i,11
yi-x-icu,yi,10,yi,153.88.34,-1,i,11
yo-BJ-x-icu,yo-BJ,10,yo-BJ,153.88.34,-1,i,11
yo-NG-x-icu,yo-NG,10,yo-NG,153.88.34,-1,i,11
yo-x-icu,yo,10,yo,153.88.34,-1,i,11
yue-Hans-CN-x-icu,yue-Hans-CN,10,yue-Hans-CN,153.88.34,-1,i,11
yue-Hans-x-icu,yue-Hans,10,yue-Hans,153.88.34,-1,i,11
yue-Hant-HK-x-icu,yue-Hant-HK,10,yue-Hant-HK,153.88.34,-1,i,11
yue-Hant-x-icu,yue-Hant,10,yue-Hant,153.88.34,-1,i,11
yue-x-icu,yue,10,yue,153.88.34,-1,i,11
zgh-MA-x-icu,zgh-MA,10,zgh-MA,153.88,-1,i,11
zgh-x-icu,zgh,10,zgh,153.88,-1,i,11
zh-Hans-CN-x-icu,zh-Hans-CN,10,zh-Hans-CN,153.88.34,-1,i,11
zh-Hans-HK-x-icu,zh-Hans-HK,10,zh-Hans-HK,153.88.34,-1,i,11
zh-Hans-MO-x-icu,zh-Hans-MO,10,zh-Hans-MO,153.88.34,-1,i,11
zh-Hans-SG-x-icu,zh-Hans-SG,10,zh-Hans-SG,153.88.34,-1,i,11
zh-Hans-x-icu,zh-Hans,10,zh-Hans,153.88.34,-1,i,11
zh-Hant-HK-x-icu,zh-Hant-HK,10,zh-Hant-HK,153.88.34,-1,i,11
zh-Hant-MO-x-icu,zh-Hant-MO,10,zh-Hant-MO,153.88.34,-1,i,11
zh-Hant-TW-x-icu,zh-Hant-TW,10,zh-Hant-TW,153.88.34,-1,i,11
zh-Hant-x-icu,zh-Hant,10,zh-Hant,153.88.34,-1,i,11
zh-x-icu,zh,10,zh,153.88.34,-1,i,11
zu-ZA-x-icu,zu-ZA,10,zu-ZA,153.88,-1,i,11
zu-x-icu,zu,10,zu,153.88,-1,i,11

