conname,conproc,conowner,condefault,connamespace,contoencoding,conforencoding
utf8_to_koi8_r,utf8_to_koi8r,10,true,11,22,6
utf8_to_koi8_u,utf8_to_koi8u,10,true,11,34,6
utf8_to_shift_jis_2004,utf8_to_shift_jis_2004,10,true,11,41,6
utf8_to_sjis,utf8_to_sjis,10,true,11,35,6
utf8_to_uhc,utf8_to_uhc,10,true,11,38,6
utf8_to_windows_1250,utf8_to_win,10,true,11,29,6
utf8_to_windows_1251,utf8_to_win,10,true,11,23,6
utf8_to_windows_1252,utf8_to_win,10,true,11,24,6
utf8_to_windows_1253,utf8_to_win,10,true,11,30,6
utf8_to_windows_1254,utf8_to_win,10,true,11,31,6
utf8_to_windows_1255,utf8_to_win,10,true,11,32,6
utf8_to_windows_1256,utf8_to_win,10,true,11,18,6
utf8_to_windows_1257,utf8_to_win,10,true,11,33,6
utf8_to_windows_1258,utf8_to_win,10,true,11,19,6
utf8_to_windows_866,utf8_to_win,10,true,11,20,6
utf8_to_windows_874,utf8_to_win,10,true,11,21,6
windows_1250_to_iso_8859_2,win1250_to_latin2,10,true,11,9,29
windows_1250_to_mic,win1250_to_mic,10,true,11,7,29
windows_1250_to_utf8,win_to_utf8,10,true,11,6,29
windows_1251_to_iso_8859_5,win1251_to_iso,10,true,11,25,23
windows_1251_to_koi8_r,win1251_to_koi8r,10,true,11,22,23
windows_1251_to_mic,win1251_to_mic,10,true,11,7,23
windows_1251_to_utf8,win_to_utf8,10,true,11,6,23
windows_1251_to_windows_866,win1251_to_win866,10,true,11,20,23
windows_1252_to_utf8,win_to_utf8,10,true,11,6,24
windows_1253_to_utf8,win_to_utf8,10,true,11,6,30
windows_1254_to_utf8,win_to_utf8,10,true,11,6,31
windows_1255_to_utf8,win_to_utf8,10,true,11,6,32
windows_1256_to_utf8,win_to_utf8,10,true,11,6,18
windows_1257_to_utf8,win_to_utf8,10,true,11,6,33
windows_1258_to_utf8,win_to_utf8,10,true,11,6,19
windows_866_to_iso_8859_5,win866_to_iso,10,true,11,25,20
windows_866_to_koi8_r,win866_to_koi8r,10,true,11,22,20
windows_866_to_mic,win866_to_mic,10,true,11,7,20
windows_866_to_utf8,win_to_utf8,10,true,11,6,20
windows_866_to_windows_1251,win866_to_win1251,10,true,11,23,20
windows_874_to_utf8,win_to_utf8,10,true,11,6,21

