amproc,amprocnum,amprocfamily,amproclefttype,amprocrighttype
spg_text_inner_consistent,4,4017,25,25
spg_text_leaf_consistent,5,4017,25,25
jsonb_cmp,1,4033,3802,3802
jsonb_hash,1,4034,3802,3802
range_merge,11,4103,3831,3831
inet_merge,11,4102,869,869
bound_box,11,4104,603,603
inet_same_family,12,4102,869,869
brin_inclusion_opcinfo,1,4103,3831,3831
brin_inclusion_opcinfo,1,4102,869,869
brin_inclusion_opcinfo,1,4104,603,603
brin_inclusion_add_value,2,4102,869,869
brin_inclusion_add_value,2,4103,3831,3831
brin_inclusion_add_value,2,4104,603,603
brin_inclusion_consistent,3,4103,3831,3831
brin_inclusion_consistent,3,4102,869,869
brin_inclusion_consistent,3,4104,603,603
brin_inclusion_union,4,4103,3831,3831
brin_inclusion_union,4,4102,869,869
brin_inclusion_union,4,4104,603,603
macaddr8_cmp,1,3371,774,774
pg_catalog.in_range,3,1976,20,20
pg_catalog.in_range,3,1976,23,20
pg_catalog.in_range,3,1976,23,23
pg_catalog.in_range,3,1976,23,21
pg_catalog.in_range,3,1976,21,20
pg_catalog.in_range,3,1976,21,23
pg_catalog.in_range,3,1976,21,21
pg_catalog.in_range,3,434,1082,1186
pg_catalog.in_range,3,434,1114,1186
pg_catalog.in_range,3,434,1184,1186
pg_catalog.in_range,3,1982,1186,1186
pg_catalog.in_range,3,1996,1083,1186
pg_catalog.in_range,3,2000,1266,1186
pg_catalog.in_range,3,1970,701,701
pg_catalog.in_range,3,1970,700,701
pg_catalog.in_range,3,1988,1700,1700
spg_bbox_quad_config,1,5008,604,604
spg_poly_quad_compress,6,5008,604,604
spg_box_quad_config,1,5000,603,603
spg_box_quad_choose,2,5008,604,604
spg_box_quad_choose,2,5000,603,603
spg_box_quad_picksplit,3,5000,603,603
spg_box_quad_picksplit,3,5008,604,604
spg_box_quad_inner_consistent,4,5008,604,604
spg_box_quad_inner_consistent,4,5000,603,603
spg_box_quad_leaf_consistent,5,5008,604,604
spg_box_quad_leaf_consistent,5,5000,603,603

